x,y,z,canc,data,ora
"-0.46927786,3.5186265,6.3706865 - 2021-09-09 19:52:05.001"
"-0.30646718,3.5588503,6.221284 - 2021-09-09 19:52:05.023"
"-0.28922838,3.5645962,6.2500153 - 2021-09-09 19:52:05.041"
"-0.6646507,3.6699445,6.5603127 - 2021-09-09 19:52:05.062"
"-0.7680834,3.658452,7.2153864 - 2021-09-09 19:52:05.083"
"-0.8408693,3.6622827,7.280511 - 2021-09-09 19:52:05.101"
"-0.7240287,3.6852677,7.4777994 - 2021-09-09 19:52:05.121"
"-0.77574503,3.6795216,7.257526 - 2021-09-09 19:52:05.143"
"-0.69912827,3.7025068,7.203894 - 2021-09-09 19:52:05.161"
"-0.6627353,3.7139993,6.974044 - 2021-09-09 19:52:05.181"
"-0.5439792,3.6661139,6.5047665 - 2021-09-09 19:52:05.203"
"-0.5631334,3.6910143,6.3821793 - 2021-09-09 19:52:05.222"
"-0.6531582,3.6699445,6.5947905 - 2021-09-09 19:52:05.242"
"-0.49800918,3.6009893,6.613945 - 2021-09-09 19:52:05.263"
"-0.53440213,3.6124818,6.7154617 - 2021-09-09 19:52:05.282"
"-0.5918647,3.6833525,6.830387 - 2021-09-09 19:52:05.301"
"-0.6167652,3.668029,6.968298 - 2021-09-09 19:52:05.323"
"-0.5995264,3.6967602,7.00086 - 2021-09-09 19:52:05.341"
"-0.65124273,3.7120838,7.0353374 - 2021-09-09 19:52:05.361"
"-0.63208854,3.6890988,7.0066056 - 2021-09-09 19:52:05.383"
"-0.679974,3.7197454,7.008521 - 2021-09-09 19:52:05.401"
"-0.64358103,3.6622827,6.7920785 - 2021-09-09 19:52:05.422"
"-0.56696427,3.6699445,6.669492 - 2021-09-09 19:52:05.443"
"-0.58228767,3.704422,6.7786703 - 2021-09-09 19:52:05.461"
"-0.7393521,3.7159147,6.884019 - 2021-09-09 19:52:05.481"
"-0.89258564,3.7293224,6.805487 - 2021-09-09 19:52:05.503"
"-0.8676852,3.7388997,6.7327013 - 2021-09-09 19:52:05.521"
"-0.76425254,3.7274072,6.6867313 - 2021-09-09 19:52:05.541"
"-0.79298383,3.7101681,6.793994 - 2021-09-09 19:52:05.563"
"-0.8906702,3.7446458,7.0219293 - 2021-09-09 19:52:05.581"
"-0.98261046,3.7408152,6.9721284 - 2021-09-09 19:52:05.602"
"-0.8868394,3.790616,6.8744416 - 2021-09-09 19:52:05.623"
"-0.87726235,3.7331533,6.8744416 - 2021-09-09 19:52:05.641"
"-0.8293768,3.6622827,6.8188953 - 2021-09-09 19:52:05.661"
