xa,ya,za,oraa
0.32554352,3.4259238,7.275497,19:33:01.325
0.30831522,3.4249668,7.3022966,19:33:01.347
0.32554352,3.4201808,7.2649684,19:33:01.366
0.30927235,3.4421952,7.222735,19:33:01.386
0.32075787,3.503571,7.1605215,19:33:01.406
0.32554352,3.471866,7.0600233,19:33:01.424
0.3562913,3.4374094,6.9527054,19:33:01.445
0.35437703,3.4431524,6.9718475,19:33:01.466
0.36394835,3.4058242,7.0072618,19:33:01.486
0.43956152,3.4058242,7.061938,19:33:01.506
0.48646083,3.4153953,7.1040516,19:33:01.526
0.53718865,3.4000812,7.178707,19:33:01.549
0.5486742,3.3637104,7.21795,19:33:01.566
0.5822934,3.3369107,7.1729646,19:33:01.588
0.6062216,3.2852259,7.1059656,19:33:01.606
0.5803791,3.3053257,7.0561953,19:33:01.627
0.53240305,3.3589249,7.027481,19:33:01.648
0.47593242,3.4048667,7.0494947,19:33:01.670
0.43094736,3.4144382,7.0437527,19:33:01.687
0.4089334,3.4240098,7.013961,19:33:01.708
0.36107695,3.4431524,7.111708,19:33:01.727
0.34672,3.4469807,7.106923,19:33:01.752
0.3505485,3.4421952,7.099265,19:33:01.768
0.34576288,3.449852,7.103094,19:33:01.788
0.36107695,3.447938,7.136594,19:33:01.808
0.3830909,3.4163525,7.130851,19:33:01.828
0.4290331,3.369453,7.128937,19:33:01.849
0.47880384,3.3388252,7.1700926,19:33:01.867
0.50368917,3.3311682,7.174879,19:33:01.888
0.52283174,3.3244681,7.159565,19:33:01.907
0.52091753,3.317768,7.1662645,19:33:01.928
0.51517475,3.3503106,7.159565,19:33:01.948
0.49986067,3.3531818,7.108837,19:33:01.968
0.44147578,3.3713677,7.0561953,19:33:01.989
0.3706482,3.3952956,7.010133,19:33:02.011
0.32841492,3.411567,7.013961,19:33:02.028
0.31980073,3.4259238,7.0149183,19:33:02.049
0.30831522,3.4699516,7.030352,19:33:02.070
0.3016153,3.4756947,7.124151,19:33:02.088
0.33032915,3.4670804,7.26784,19:33:02.109
0.3792624,3.4134812,7.259226,19:33:02.132
0.49986067,3.3244681,7.19785,19:33:02.148
0.52091753,3.2823544,7.1519074,19:33:02.171
0.5103891,3.3196824,7.08108,19:33:02.189
0.5736792,3.3349965,7.017909,19:33:02.210
0.5976075,3.3397822,6.988119,19:33:02.239
0.56315076,3.367539,6.9833336,19:33:02.254
0.49698925,3.411567,7.0533237,19:33:02.270
0.42711884,3.440281,7.083952,19:33:02.289
0.4386044,3.4240098,7.029395,19:33:02.309
0.40031925,3.4134812,7.021738,19:33:02.331
0.35437703,3.448895,7.0753374,19:33:02.350
0.33128628,3.421138,7.0944805,19:33:02.370
0.3888337,3.4077387,7.061938,19:33:02.389
0.4165904,3.381896,7.105008,19:33:02.412
0.42999023,3.3646674,7.206464,19:33:02.432
0.43764725,3.3570108,7.210293,19:33:02.449
0.43381873,3.3531818,7.1854076,19:33:02.470
0.41946185,3.3512678,7.1509504,19:33:02.490
0.37543386,3.368496,7.162436,19:33:02.511
0.37160534,3.3962529,7.1452084,19:33:02.534
0.3735196,3.4077387,7.072466,19:33:02.551
0.3562913,3.4086957,7.0753374,19:33:02.571
0.36681974,3.3991241,7.0916085,19:33:02.596
0.36490548,3.411567,7.078209,19:33:02.613
0.40127635,3.4287953,7.095437,19:33:02.632
0.42711884,3.3962529,7.1394644,19:33:02.651
0.42711884,3.4000812,7.110751,19:33:02.671
0.4290331,3.4144382,7.0772514,19:33:02.691
0.41276193,3.4144382,7.038966,19:33:02.723
0.40797627,3.4067814,7.0380087,19:33:02.735
0.43094736,3.4096527,7.012047,19:33:02.753
0.43956152,3.4335809,6.9929047,19:33:02.771
0.4615755,3.4383664,7.078209,19:33:02.792
0.45583272,3.4096527,7.1509504,19:33:02.813
0.44243294,3.382853,7.144251,19:33:02.834
0.38500518,3.4144382,7.0695944,19:33:02.853
0.33714873,3.4307094,7.0820374,19:33:02.873
0.3016153,3.435495,7.105008,19:33:02.892
0.32554352,3.4326239,7.076295,19:33:02.915
0.3351148,3.4594235,7.0657663,19:33:02.935
0.3658626,3.4747376,7.1059656,19:33:02.955
0.43764725,3.5073996,7.083952,19:33:02.974
0.5333601,3.4853854,7.0399237,19:33:02.997
0.517089,3.5140996,7.072466,19:33:03.017
0.4807181,3.4949565,7.1633935,19:33:03.039
0.49028936,3.382853,7.1155367,19:33:03.066
0.5180461,3.2037501,7.0475807,19:33:03.077
0.46253264,3.1511083,6.988119,19:33:03.096
0.38500518,3.2181072,6.906763,19:33:03.115
0.31884363,3.3531818,6.8790064,19:33:03.135
0.22791636,3.5255847,6.944091,19:33:03.154
0.16091731,3.6251264,7.08778,19:33:03.175
0.13507484,3.644269,7.2332635,19:33:03.194
0.23365913,3.57057,7.2850685,19:33:03.215
0.33320054,3.4689946,7.2284784,19:33:03.235
0.38691944,3.4192238,7.111708,19:33:03.255
0.4022335,3.4364522,7.066723,19:33:03.277
0.42329037,3.4670804,7.0849085,19:33:03.297
0.49124652,3.4594235,7.0485373,19:33:03.316
0.54580283,3.4469807,7.074381,19:33:03.337
0.56410795,3.435495,7.143294,19:33:03.356
0.5889933,3.4469807,7.1231937,19:33:03.374
0.601436,3.4441094,7.083952,19:33:03.398
0.58995044,3.4383664,7.074381,19:33:03.417
0.56410795,3.3780675,7.1174507,19:33:03.435
0.5391029,3.3704102,7.1097937,19:33:03.455
0.49986067,3.4010384,7.095437,19:33:03.474
0.4807181,3.3991241,7.0772514,19:33:03.495
0.44243294,3.3924246,7.0561953,19:33:03.517
0.4031906,3.4584665,7.021738,19:33:03.535
0.41467613,3.5160136,6.918249,19:33:03.555
0.398405,3.4968712,6.938349,19:33:03.575
0.33607194,3.4737806,6.9670625,19:33:03.598
0.28917262,3.4067814,6.938349,19:33:03.617
0.2556731,3.3579679,6.9469624,19:33:03.635
0.2489732,3.3235111,6.938349,19:33:03.655
0.2556731,3.366582,6.9775906,19:33:03.677
0.26141587,3.4374094,6.940263,19:33:03.695
0.24227329,3.606941,7.013961,19:33:03.716
0.27194428,3.7104306,7.161479,19:33:03.736
0.38021952,3.6873398,7.2217784,19:33:03.757
0.50656056,3.5447273,7.2439117,19:33:03.777
0.59569323,3.411567,7.2284784,19:33:03.799
0.6033502,3.3512678,7.13468,19:33:03.816
0.565065,3.3311682,7.0963945,19:33:03.836
0.54293144,3.3483963,7.0226955,19:33:03.856
0.49603215,3.4249668,7.072466,19:33:03.877
0.46731827,3.4517663,7.1222367,19:33:03.901
0.46348974,3.4815571,7.105008,19:33:03.919
0.45678985,3.5408988,7.066723,19:33:03.937
0.40510488,3.541856,7.1337223,19:33:03.957
0.3792624,3.5466416,7.061938,19:33:03.978
0.36490548,3.5274992,7.030352,19:33:03.998
